Player,Pos,Team,Age,Min,Skill / Pot,ETV
Aaron Ramsdale,GK,Southampton,26-346,2250.0,67.3 / 71.5,€18.7M
Aaron Wan-Bissaka,DF,West Ham,27-150,2704.0,74.4 / 75.0,€29.7M
Abdoulaye Doucouré,MF,Everton,32-114,2335.0,69.1 / 69.1,€5.8M
Adam Smith,DF,Bournemouth,33-361,1319.0,68.5 / 68.7,€1.5M
Adam Wharton,MF,Crystal Palace,20-327,1258.0,68.1 / 81.3,€49.3M
Adama Traoré,"FW,MF",Fulham,29-090,1523.0,68.7 / 68.7,€8.2M
Alejandro Garnacho,"MF,FW",Manchester Utd,20-298,1966.0,70.9 / 87.1,€59.2M
Alex Iwobi,"FW,MF",Fulham,28-357,2636.0,76.3 / 76.3,€31.2M
Alexander Isak,FW,Newcastle Utd,25-216,2411.0,82.0 / 84.9,€119.4M
Alexis Mac Allister,MF,Liverpool,26-122,2471.0,85.5 / 88.9,€117M
Alisson,GK,Liverpool,32-205,2058.0,78.0 / 78.0,€24.5M
Amad Diallo,"FW,MF",Manchester Utd,22-288,1594.0,69.4 / 76.9,€48.6M
Amadou Onana,MF,Aston Villa,23-252,1348.0,68.7 / 76.0,€64.4M
Andreas Pereira,MF,Fulham,29-114,1834.0,75.7 / 75.7,€18.9M
Andrew Robertson,DF,Liverpool,31-045,2218.0,80.2 / 80.6,€20.6M
André,MF,Wolves,23-283,2087.0,71.5 / 79.3,€29.4M
André Onana,GK,Manchester Utd,29-023,2880.0,73.5 / 76.9,€34.2M
Anthony Elanga,FW,Nott'ham Forest,22-363,2052.0,75.0 / 82.6,€45.6M
Anthony Gordon,FW,Newcastle Utd,24-060,2176.0,80.7 / 86.9,€52.4M
Antoine Semenyo,FW,Bournemouth,25-108,2823.0,74.1 / 79.3,€45.4M
Antonee Robinson,DF,Fulham,27-260,2899.0,77.9 / 78.7,€42.7M
Archie Gray,"DF,MF",Tottenham,19-044,1346.0,71.0 / 89.0,€72.5M
Ashley Young,"DF,FW",Everton,39-290,1586.0,72.5 / 72.5,€1.3M
Axel Tuanzebe,DF,Ipswich Town,27-162,1445.0,62.4 / 63.0,€4.3M
Bart Verbruggen,GK,Brighton,22-250,2790.0,72.3 / 84.4,€32M
